data_paper_DOI;data_paper_title;dimension;sub-dimension;sub-dimension-requirements;ground_truth
https://doi.org/10.1038/s41597-022-01855-23;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;"J.E.C., R.Y.G.P.Y. and C.A.H.A. designed the script,
designed, prepared, and conducted the data collection. No demographics information is given."
https://doi.org/10.1038/s41597-022-01855-24;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;"The actors were mostly mid-age native Quechua
speakers that were paid to record. The whole script (2070 instances) was planned to be recorded by each actor
of a group of three women and three men in order to have balanced data in terms of gender. However, an actress
(Actress 5) could not finish due to unexpected situations, so her work was completed by another actress (Actress 7).
Table 1 shows information related to actors"
https://doi.org/10.1038/s41597-022-01855-25;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;"The audios were recorded using one of the following microphones: Emita USB Studio Microphone GXT 252
and Blue Snowball USB Microphone. The software used to record was Audacity, with a sample rate 44KHz and
one recording channel (mono). The scene setup for recordings is shown in Fig. 1."
https://doi.org/10.1038/s41597-022-01855-26;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;"The recording sessions were performed with semi-professional microphones and at
semi noiseless spaces at the School of Computer Science - UNSA. No information about the specific dates is given."
https://doi.org/10.1038/s41597-022-01855-27;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;"Two men and two women were employed and paid to annotate the audio labels. They are
Quechua Collao native speakers and Quechua instructors, ages ranging from 27 to 46. Each annotator labeled the 12420 audios over a 4-week period by assigning valence, arousal, and dominance
values. Each week, 3105 audios were released to be annotated. It must be noted that we only considered five days
a week dedicated to annotation. A methodology was recommended to ensure the annotation quality, suggesting
about 6 hours a day to annotate, preferably in two 3-hour groups, while taking a 10-minute pause after 1.5 hours.
During the last week, one of the female annotators had to be replaced by another female Quechua instructor due
to some external inconveniences.
The annotation process was performed using a sheet for each annotator, where they had to write the valence,
arousal, and dominance values for each audio. A scale of 1 to 5 was used, and visual aid was provided using
self-assessment manikins (SAMs)37. Figure 2 shows an example of the sheets used for annotation, where the first
column shows the audio filename, and the last three columns correspond to valence, arousal, and dominance.
In the header, 5 SAMs are shown for each emotional dimension, with a brief description in Spanish: Negative -
Positive for valence, Very calm - Very excited for arousal, and Submissive - Dominant for dominance."
https://doi.org/10.1038/s41597-022-01855-28;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Annotation: 
How data has been annotated";Processs Type;The type of annotation process: Bounding boxes, Lines and splines, Semantinc Segmentation, 3D cuboids, Polygonal segmentation, Landmark and key-point, Image and video annotations, Entity annotation, Content and textual categorization;Content and textual categorization
https://doi.org/10.1038/s41597-022-01855-29;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Annotation: 
How data has been annotated";The generated labels;Which are the generated labels, and its mapping with specific attributes;The lavels are the level of emotional valence, arousal, and dominance dimensions
https://doi.org/10.1038/s41597-022-01855-30;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Annotation: 
How data has been annotated";Information of the team annotating the data;Who annotates the data, form which type is (internal, external, crowdsourcing), and its demographics information;"Two men and two women were employed and paid to annotate the audio labels. They are
Quechua Collao native speakers and Quechua instructors, ages ranging from 27 to 46"
https://doi.org/10.1038/s41597-022-01855-31;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Annotation: 
How data has been annotated";Infrastructure used to annotate the data;Which tools and platforms  has been used to annotate the data;The annotation process was manually done, using a sheet for each annotator, where they had to write the valence, arousal, and dominance values for each audio. 
https://doi.org/10.1038/s41597-022-01855-32;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Annotation: 
How data has been annotated";Validations applied over the labels;Which validation methods have been applied to validate the annotations;No specific validation was done on the annotations.
https://doi.org/10.1038/s41597-022-01855-33;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Social Concerns: 
Explicit warning regarding the data. ";Potential biases of the data;Potential biases of the dataset;No biases are specified (although it sais that the filenames are randomized to avoid biases WHILE ANNOTATING).
https://doi.org/10.1038/s41597-022-01855-34;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Social Concerns: 
Explicit warning regarding the data. ";Representativeness and sensitivity  issues;Data imbalance, and representiveness issues for specific social groups;The corpus is built over the variant Collao of Quechua. Thus, this variant has noticeable differences from other variants and should not be used to generalize Quechua. The main limitation is the emotional imbalance of the corpus38, which can lead to low performance in SER algorithms for labels of instances with low frequency. Furthermore, we must note that the recordings are performed in a controlled environment with only six mid-age speakers acting established emotions. Therefore, given these limitations, the recordings provide prototypical insights for studying emotions but they cannot fully represent the emotional expressions of all Quechua speakers that are observed in real life.
https://doi.org/10.1038/s41597-022-01855-35;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Social Concerns: 
Explicit warning regarding the data. ";Privacy concerns of the data;Data privacy concerns;Individual written informed consent was obtained from all participants involved in the study, where the actors and actresses were informed that their voices would be freely shared anonymously.
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Uses: 
The desing pruposes and uses of the dataset";Purposes, gaps and tasks;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";"Purposes: The purpose of the dataset is to support new machine learning challenges.

To explore de ""ugly ducliong sing""

Gaps: This dataset inteds to fill prior skin image datasets have not addressed patient-level information obtained from multiple skin lesions from the same patient. 

"
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Uses: 
The desing pruposes and uses of the dataset";Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;"The dataset is designed to improve translational potential of algorithms, especially to help clinicians without access to tertiary referral centers assess high risk patients with multiple atypical nevi.

There is an aware as the data is not representative"
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Uses: 
The desing pruposes and uses of the dataset";Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";No
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;Veronica Rotemberg  , Nicholas Kurtansky, Brigid Betz-Stablein, Liam Caffery, Emmanouil Chousakos , Noel Codella, Marc Combalia, Stephen Dusza, Pascale Guitera, David Gutman, Allan Halpern, Brian Helba, Harald Kittler, Kivanc Kose , Steve Langer, Konstantinos Lioprys, Josep Malvehy, Shenara Musthaq,
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;The dataset provided by The University of Queensland in Brisbane was funded by the National Health and Medical Research Council (NHMRC) – Centre of Research Excellence Scheme (APP 1099021). HPS holds an NHMRC MRFF Next Generation Clinical Researchers Program Practitioner Fellowship (APP1137127). Other funding sources include the Melanoma Research Alliance Young Investigator Award 614197. This research was funded in part through the NIH/NCI Cancer Center Support Grant P30 CA008748.
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Distribution: 
How the dataset is distributed";Data accesability;The link where the data can be accesed if its online and open, or the place where the data can be demanded;"Is permanently accessible to the public through the ISIC Archive12 at
this https://doi.org/10.34970/2020-ds01."
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";Dataset under CC 4.0
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;Not mentioned
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Composition: 
How the dataset is composed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;Is provided in 2 formats, in DICOM format and in JPEG and CSV format.
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Composition: 
How the dataset is composed";Data splits;Is there any recommended data split of the data?;no
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Composition: 
How the dataset is composed";Consistnecy Rules and relevant statistics;Consistency rules and constraints of the data and relevant statistics of the dataset;In Table 1
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;Collected, from 5 health center, using scanners
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Sensors and Manual Human Curators
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;Internal team and external team
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;Not provided
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;5 hospitals, a great description of each hospital is provided
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;The localization of each of 5 hospitals
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;The data has been annotated bydermoscopry, ussing Tagger
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Annotation: 
How data has been annotated";Processs Type;The type of annotation process: Bounding boxes, Lines and splines, Semantinc Segmentation, 3D cuboids, Polygonal segmentation, Landmark and key-point, Image and video annotations, Entity annotation, Content and textual categorization;Image annotation
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Annotation: 
How data has been annotated";The generated labels;Which are the generated labels, and its mapping with specific attributes;
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Annotation: 
How data has been annotated";Information of the team annotating the data;Who annotates the data, form which type is (internal, external, crowdsourcing), and its demographics information;Dermoscopy exeprts, of type internal with no demograhipcs
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Annotation: 
How data has been annotated";Infrastructure used to annotate the data;Which tools and platforms  has been used to annotate the data;Tagger
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Annotation: 
How data has been annotated";Validations applied over the labels;Which validation methods have been applied to validate the annotations;"The ground truth labels for all malignant lesions in the dataset were confirmed via retrospective review of histopathology
reports, and diagnosis plausibility was visually confirmed by visual confirmation of a dermoscopy expert.
Histopathology reports were double checked if the label was suspicious. Melanoma in situ and invasive melanoma
were both coded as melanoma. All other qualifying images were coded as benign, including those diagnosed as
severely dysplastic nevi"
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Social Concerns: 
Explicit warning regarding the data. ";Potential biases of the data;Potential biases of the dataset;Low prevalnce of specific population groups
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Social Concerns: 
Explicit warning regarding the data. ";Representativeness and sensitivity  issues;Data imbalance, and representiveness issues for specific social groups;Tends to under-represent darker skin types
https://doi.org/10.1038/s41597-021-00815-z;A patient-centric dataset of images and metadata for identifying melanomas using clinical context;"Social Concerns: 
Explicit warning regarding the data. ";Privacy concerns of the data;Data privacy concerns;No
https://doi.org/10.1038/s41597-021-00865-3;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Uses: 
The desing pruposes and uses of the dataset";Purposes, gaps and tasks;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";"The dataset is designed  for training NLP apporaches to help identifying potential patients at scale clinical trials. Is an human-annotated corpus of over 1,000 clinical trial
eligibility criteria descriptions using highly granular structured labels capturing a range of biomedical phenomena.

Tries to fill the gap of past corpora that  covers only a modest number of eligibility criteria, are narrowly focused on certain diseases only, are not publicly available
or have annotations insufficiently granular to fully capture the diverse, nuanced semantics of eligibility criteria."
https://doi.org/10.1038/s41597-021-00865-4;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Uses: 
The desing pruposes and uses of the dataset";Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;To train NLP methods for query generation form clinical trials
https://doi.org/10.1038/s41597-021-00865-5;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Uses: 
The desing pruposes and uses of the dataset";Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";Has been testes with biLSTMçCRF, PubMedBERT, and SciBERT
https://doi.org/10.1038/s41597-021-00865-6;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;0
https://doi.org/10.1038/s41597-021-00865-7;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;The National Library of Medicine: R15LM013209, and the Nactiona Center for Advancing Translational Sciences of National Institues of Health: UL1TR002319
https://doi.org/10.1038/s41597-021-00865-8;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;Not mentioned explicitily
https://doi.org/10.1038/s41597-021-00865-9;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Distribution: 
How the dataset is distributed";Data repository links;The link where the data can be accesed if its online and open, or the place where the data can be demanded;Link of figshare
https://doi.org/10.1038/s41597-021-00865-10;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";CC4.0, no mention of third parties, attribution notices etc..
https://doi.org/10.1038/s41597-021-00865-11;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;No mention
https://doi.org/10.1038/s41597-021-00865-12;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Composition: 
How the dataset is composed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;"The Brat format includes
two file types, “.txt” files and “.ann” files. 

The annotation files used by Brat for tracking annotated spans of text and relations.
Each.ann file corresponds to a.txt file of the same name. Each row of a.ann file may begin with a “T” (for an entity)
or “R” (for a relation), followed by an incremental number for uniquely identifying the entity or relation (e.g.,
“T15”). “T” rows are of the form “T<number> <entity type> <start character index> <stop character index>”,
where start and stop indices correspond to text in the associated.txt file. “R” rows are of the form “R<number>
<relation type> Arg1: <ID>Arg2: <ID>”, where ID values correspond to identifiers of entities. Additionally,
for ease of annotation certain LCT relations are defined as arguments of Brat “events”, identified by “E”. “E” rows
are of the form “E<number> <entity type>: <ID> <relation type>: <ID>”."
https://doi.org/10.1038/s41597-021-00865-13;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Composition: 
How the dataset is composed";Data splits;Is there any recommended data split of the data?;No mention
https://doi.org/10.1038/s41597-021-00865-14;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Composition: 
How the dataset is composed";Consistnecy Rules and relevant statistics;Consistency rules and constraints of the data and relevant statistics of the dataset;No mention
https://doi.org/10.1038/s41597-021-00865-15;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;
https://doi.org/10.1038/s41597-021-00865-16;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Web Scraping
https://doi.org/10.1038/s41597-021-00865-17;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;Collectors wher the authors, an intenral team, no demographics
https://doi.org/10.1038/s41597-021-00865-18;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;Yes, but no demographic pvoided
https://doi.org/10.1038/s41597-021-00865-19;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;"We used eligibility criteria from https://clinicaltrials.gov as the basis for our corpus.
We extracted 1,020 randomly selected clinical trials eligibility descriptions, 20 for training and
inter-annotator comparison and 1,000 for post-training annotation."
https://doi.org/10.1038/s41597-021-00865-20;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;Not provided
https://doi.org/10.1038/s41597-021-00865-21;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;"Annotation was performed by two annotators,
the first a biomedical informatician and the second a computer scientist. For initial annotation training, 20
documents were distributed to both annotators. Annotation was done in the following steps: "
https://doi.org/10.1038/s41597-021-00865-22;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Annotation: 
How data has been annotated";Processs Type;The type of annotation process: Bounding boxes, Lines and splines, Semantinc Segmentation, 3D cuboids, Polygonal segmentation, Landmark and key-point, Image and video annotations, Entity annotation, Content and textual categorization;Entity Annotation
https://doi.org/10.1038/s41597-021-00865-23;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Annotation: 
How data has been annotated";The generated labels;Which are the generated labels, and its mapping with specific attributes;
https://doi.org/10.1038/s41597-021-00865-24;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Annotation: 
How data has been annotated";Information of the team annotating the data;Who annotates the data, form which type is (internal, external, crowdsourcing), and its demographics information;Two annotates, (the authors), biomedical informatician and a computer scientist
https://doi.org/10.1038/s41597-021-00865-25;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Annotation: 
How data has been annotated";Infrastructure used to annotate the data;Which tools and platforms  has been used to annotate the data;BRAT annotation tool
https://doi.org/10.1038/s41597-021-00865-26;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Annotation: 
How data has been annotated";Validations applied over the labels;Which validation methods have been applied to validate the annotations;Inter-annotation agreement
https://doi.org/10.1038/s41597-021-00865-27;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Social Concerns: 
Explicit warning regarding the data. ";Potential biases of the data;Potential biases of the dataset;Not mention
https://doi.org/10.1038/s41597-021-00865-28;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Social Concerns: 
Explicit warning regarding the data. ";Representativeness and sensitivity  issues;Data imbalance, and representiveness issues for specific social groups;Not mention
https://doi.org/10.1038/s41597-021-00865-29;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Social Concerns: 
Explicit warning regarding the data. ";Sensitivity of the data;The presensce of information that can hurt the sensitivity of any social group;No
https://doi.org/10.1038/s41597-021-00865-30;The Leaf Clinical Trials Corpus: a new resource for query generation from clinical trial eligibility criteria;"Social Concerns: 
Explicit warning regarding the data. ";Privacy concerns of the data;Data privacy concerns;Not mention
https://doi.org/10.1016/j.dib.2022.108870;An annotated dataset for event-based surveillance of antimicrobial resistance;"Uses: 
The desing pruposes and uses of the dataset";Purposes, gaps and tasks;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";"The purpose of the dataset are to contribute as an NLP resource in the AMR surveillance and epidemic intelligence

To provide unofficial and unstrcutured data from new articles and social meida to complement official inforation about AMR

Text-classification, classification"
https://doi.org/10.1016/j.dib.2022.108871;An annotated dataset for event-based surveillance of antimicrobial resistance;"Uses: 
The desing pruposes and uses of the dataset";Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;"Can be used for evaluation or trainig purposes for classification tasks. 
It is useful to detect information across the One Health domain, and interaction between domains."
https://doi.org/10.1016/j.dib.2022.108872;An annotated dataset for event-based surveillance of antimicrobial resistance;"Uses: 
The desing pruposes and uses of the dataset";Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";"Has been used in a text-classification publicly available online. For each corpus through generic state-of-the-art NLP techniques in five steps.

For thematic classification and Host, Precision, Recall and F-measure is provided, using different retrieval algoritms: TF-IDF, Doc2Vec, and both"
https://doi.org/10.1016/j.dib.2022.108873;An annotated dataset for event-based surveillance of antimicrobial resistance;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;Nejat Arınıka, Wim Van Bortel, Bahdja Boudouaa,, Luca Busani. Rémy Decoupes, Roberto Interdonato, Rodrique Kafandoa, Esther van Kleeff, Mathieu Roche, Mehtab Alam Syed, Maguelonne Teisseirea
https://doi.org/10.1016/j.dib.2022.108874;An annotated dataset for event-based surveillance of antimicrobial resistance;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;This study was partially funded by EU grant 874850 MOOD and is catalogued as MOOD052.
https://doi.org/10.1016/j.dib.2022.108875;An annotated dataset for event-based surveillance of antimicrobial resistance;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;not provided
https://doi.org/10.1016/j.dib.2022.108876;An annotated dataset for event-based surveillance of antimicrobial resistance;"Distribution: 
How the dataset is distributed";Data accesability;The link where the data can be accesed if its online and open, or the place where the data can be demanded;Direct URL to data: https://doi.org/10.57745/MPNSPH
https://doi.org/10.1016/j.dib.2022.108877;An annotated dataset for event-based surveillance of antimicrobial resistance;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";Not provided, the article is under CC BY-NC-ND license
https://doi.org/10.1016/j.dib.2022.108878;An annotated dataset for event-based surveillance of antimicrobial resistance;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;Not provided
https://doi.org/10.1016/j.dib.2022.108879;An annotated dataset for event-based surveillance of antimicrobial resistance;"Composition: 
How the dataset is composed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;"We have two corpora, where D2 is a subset of D1 only containing concers about New Informationad General Information data from D1. The files are as follows, wher D1 is corpora 1, D2 corpora 2. ProMED, PADI and Healtmap and MediSys are the EBS-systems where the data has been extracted.

D1.1-ProMED_url_thematic_classification.csv
• D1.2-PADI-web_thematic_classification.csv
• D1.3-HealthMap_url_thematic_classification.csv
• D1.4-MedISys_url_thematic_classification.csv
• D2.1-ProMED_url_host_classification.csv
• D2.2-PADI-web_host_classification.csv
• D2.3-HealthMap_url_host_classification.csv
• D2.4-MedISys_url_host_classification.csv"
https://doi.org/10.1016/j.dib.2022.108880;An annotated dataset for event-based surveillance of antimicrobial resistance;"Composition: 
How the dataset is composed";Data splits;Is there any recommended data split of the data?;Mention a split, but is for the experiment and not the recommended
https://doi.org/10.1016/j.dib.2022.108881;An annotated dataset for event-based surveillance of antimicrobial resistance;"Composition: 
How the dataset is composed";Consistnecy Rules and relevant statistics;Consistency rules and constraints of the data and relevant statistics of the dataset;Statitics are provided in Table 1.
https://doi.org/10.1016/j.dib.2022.108882;An annotated dataset for event-based surveillance of antimicrobial resistance;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;"The corpus dataset was curated and mined by the TETIS team from four EBS-systems:
ProMED, PADI-web, HealthMap and MedISys."
https://doi.org/10.1016/j.dib.2022.108883;An annotated dataset for event-based surveillance of antimicrobial resistance;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Manual Human Curation, Web Scrapping
https://doi.org/10.1016/j.dib.2022.108884;An annotated dataset for event-based surveillance of antimicrobial resistance;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;Internal
https://doi.org/10.1016/j.dib.2022.108885;An annotated dataset for event-based surveillance of antimicrobial resistance;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;No
